C0023791,CAUSES__SPEC__,C0012634,TREATS__INFER__,C0087111,USES,C0033148,3
C0023791,TREATS__INFER__,C0497327,TREATS__INFER__,C0087111,USES,C0033148,3
C0023791,CAUSES__SPEC__,C0012634,TREATS__SPEC__,C0087111,USES,C0033148,3
C0023791,USES,C3540512,PRECEDES,C0087111,USES,C0033148,3
C0023791,MENTIONED_IN,18655815,MENTIONED_IN,C0087111,USES,C0033148,3
C0023791,HAS_MESH,18655815,MENTIONED_IN,C0087111,USES,C0033148,3
C0023791,HAS_MESH,20646354,MENTIONED_IN,C0087111,USES,C0033148,3
C0023791,MENTIONED_IN,14641072,MENTIONED_IN,C0087111,USES,C0033148,3
C0023791,MENTIONED_IN,15591008,MENTIONED_IN,C0087111,USES,C0033148,3
C0023791,HAS_MESH,16805717,MENTIONED_IN,C0087111,USES,C0033148,3
C0023791,MENTIONED_IN,17982894,MENTIONED_IN,C0087111,USES,C0033148,3
C0023791,HAS_MESH,17982894,MENTIONED_IN,C0087111,USES,C0033148,3
C0023791,MENTIONED_IN,17917164,MENTIONED_IN,C0087111,USES,C0033148,3
C0023791,HAS_MESH,17917164,MENTIONED_IN,C0087111,USES,C0033148,3
C0023791,MENTIONED_IN,26529297,MENTIONED_IN,C0087111,USES,C0033148,3
C0023791,MENTIONED_IN,25986626,MENTIONED_IN,C0087111,USES,C0033148,3
C0023791,MENTIONED_IN,25597007,MENTIONED_IN,C0087111,USES,C0033148,3
C0023791,HAS_MESH,25597007,MENTIONED_IN,C0087111,USES,C0033148,3
C0023791,MENTIONED_IN,25234849,MENTIONED_IN,C0087111,USES,C0033148,3
C0023791,HAS_MESH,25234849,MENTIONED_IN,C0087111,USES,C0033148,3
C0023791,MENTIONED_IN,23454012,MENTIONED_IN,C0087111,USES,C0033148,3
C0023791,HAS_MESH,23454012,MENTIONED_IN,C0087111,USES,C0033148,3
C0023791,HAS_MESH,20186865,MENTIONED_IN,C0087111,USES,C0033148,3
C0023791,MENTIONED_IN,21155625,MENTIONED_IN,C0087111,USES,C0033148,3
C0023791,HAS_MESH,19160110,MENTIONED_IN,C0087111,USES,C0033148,3
C0023791,HAS_MESH,19342064,MENTIONED_IN,C0087111,USES,C0033148,3
C0023791,MENTIONED_IN,16989905,MENTIONED_IN,C0087111,USES,C0033148,3
C0023791,HAS_MESH,16989905,MENTIONED_IN,C0087111,USES,C0033148,3
